dataset,num,iter,time
cifar10,18,1,9.522156000137329
cifar10,18,2,9.454064846038818
cifar10,18,3,9.618683338165283
cifar10,18,4,9.632419109344482
cifar10,19,0,8.969500541687012
cifar10,19,1,9.215330123901367
cifar10,19,2,9.409908294677734
cifar10,19,3,9.708594799041748
cifar10,19,4,9.29907751083374
cifar10,20,0,9.020682334899902
cifar10,20,1,8.982544183731079
cifar10,20,2,9.382419109344482
cifar10,20,3,9.343108654022217
cifar10,20,4,9.188534259796143
cifar10,21,0,7.702294111251831
cifar10,21,1,8.426592588424683
cifar10,21,2,7.730296850204468
cifar10,21,3,7.76369309425354
cifar10,21,4,7.754330158233643
cifar10,22,0,7.686095476150513
cifar10,22,1,7.9903788566589355
cifar10,22,2,7.79207706451416
cifar10,22,3,8.146567106246948
cifar10,22,4,7.708702087402344
cifar10,23,0,7.391620635986328
cifar10,23,1,7.179282188415527
cifar10,23,2,7.0378100872039795
cifar10,23,3,7.075132608413696
cifar10,23,4,7.228975296020508
cifar10,24,0,9.596273422241211
cifar10,24,1,9.481027126312256
cifar10,24,2,9.451054334640503
cifar10,24,3,9.638914585113525
cifar10,24,4,9.42793583869934
cifar10,25,0,9.428875923156738
cifar10,25,1,9.580648183822632
cifar10,25,2,9.10820722579956
cifar10,25,3,9.831833600997925
cifar10,25,4,9.550512552261353
cifar10,26,0,7.062329292297363
cifar10,26,1,7.210216283798218
cifar10,26,2,7.273468971252441
cifar10,26,3,7.312896728515625
cifar10,26,4,7.5304036140441895
cifar10,27,0,7.00575065612793
cifar10,27,1,7.232850790023804
cifar10,27,2,7.554036855697632
cifar10,27,3,7.273534774780273
cifar10,27,4,7.091787576675415
cifar10,28,0,7.173680782318115
cifar10,28,1,7.0937299728393555
cifar10,28,2,7.5592498779296875
cifar10,28,3,7.099030256271362
cifar10,28,4,7.203204154968262
cifar10,29,0,9.644962072372437
cifar10,29,1,9.493375778198242
cifar10,29,2,9.795702934265137
cifar10,29,3,9.803664684295654
cifar10,29,4,9.831810712814331
cifar10,30,0,8.40973448753357
cifar10,30,1,8.368345022201538
cifar10,30,2,8.722540378570557
cifar10,30,3,8.467175960540771
cifar10,30,4,8.426332712173462
cifar10,31,0,9.120039939880371
cifar10,31,1,9.104049921035767
cifar10,31,2,9.352776527404785
cifar10,31,3,8.92942214012146
cifar10,31,4,9.219727754592896
cifar10,32,0,7.20263671875
cifar10,32,1,7.278114080429077
cifar10,32,2,7.521756649017334
cifar10,32,3,7.235367298126221
cifar10,32,4,7.720732688903809
cifar10,33,0,7.584409475326538
cifar10,33,1,8.151113510131836
cifar10,33,2,7.912615537643433
cifar10,33,3,8.247946977615356
cifar10,33,4,7.788443088531494
cifar10,34,0,8.041922569274902
cifar10,34,1,7.6116273403167725
cifar10,34,2,7.712906837463379
cifar10,34,3,8.311774015426636
cifar10,34,4,7.854090452194214
